Time,Height,Speed,Precision
1.86,2.2,3.24,99.0
1.86,2.2,3.24,99.0
1.86,2.2,3.24,99.0
1.87,2.2,3.24,99.0
1.87,2.2,3.24,99.0
1.87,2.2,3.48,99.0
1.88,2.2,3.48,99.0
1.88,2.2,3.48,99.0
1.88,2.2,3.48,99.0
1.89,2.2,3.48,99.0
1.89,2.2,3.48,99.0
1.89,2.2,3.48,99.0
1.89,2.2,3.48,99.0
1.90,2.2,3.72,99.0
1.90,2.2,3.72,99.0
1.90,2.2,3.72,99.0
1.90,2.2,3.72,99.0
1.91,2.2,3.72,99.0
1.91,2.2,3.72,99.0
1.91,2.2,3.72,99.0
1.91,2.2,3.72,99.0
1.92,2.2,3.94,99.0
1.92,2.2,3.94,99.0
1.92,2.2,3.94,99.0
1.92,2.2,3.94,99.0
1.93,2.2,3.94,99.0
1.93,2.2,3.94,99.0
1.93,2.2,3.94,99.0
1.93,2.2,3.94,99.0
1.94,2.2,4.16,99.0
1.94,2.2,4.16,99.0
1.94,2.2,4.16,99.0
1.95,2.2,4.16,99.0
1.95,2.2,4.16,99.0
1.95,2.2,4.16,99.0
1.96,2.2,4.37,99.0
1.96,2.2,4.37,99.0
1.96,2.2,4.37,99.0
1.96,2.2,4.37,99.0
1.97,2.2,4.37,99.0
1.97,2.2,4.37,99.0
1.97,2.2,4.37,99.0
1.98,2.2,4.57,99.0
1.98,2.2,4.57,99.0
1.98,2.2,4.57,99.0
1.99,2.2,4.57,99.0
1.99,2.2,4.57,99.0
1.99,2.2,4.57,99.0
2.00,2.2,4.76,99.0
2.00,2.2,4.76,99.0
2.00,2.2,4.76,99.0
2.01,2.2,4.76,99.0
2.01,2.2,4.76,99.0
2.01,2.2,4.76,99.0
2.02,2.2,4.95,98.0
2.02,2.2,4.95,98.0
2.02,2.2,4.95,98.0
2.03,2.2,4.95,98.0
2.03,2.2,4.95,98.0
2.03,2.2,4.95,98.0
2.03,2.2,4.95,98.0
2.04,2.2,5.13,98.0
2.04,2.2,5.13,98.0
2.04,2.2,5.13,98.0
2.05,2.2,5.13,98.0
2.05,2.2,5.13,98.0
2.05,2.2,5.13,98.0
2.05,2.2,5.13,98.0
2.06,2.2,5.30,98.0
2.06,2.2,5.30,98.0
2.06,2.2,5.30,98.0
2.07,2.2,5.30,98.0
2.07,2.2,5.30,98.0
2.07,2.2,5.30,98.0
2.07,2.2,5.30,98.0
2.08,2.2,5.47,98.0
2.08,2.2,5.47,98.0
2.08,2.2,5.47,98.0
2.08,2.2,5.47,98.0
2.09,2.2,5.47,98.0
2.09,2.2,5.47,98.0
2.09,2.2,5.47,98.0
2.09,2.2,5.47,98.0
2.10,2.2,5.63,98.0
2.10,2.2,5.63,98.0
2.10,2.2,5.63,98.0
2.11,2.2,5.63,98.0
2.11,2.2,5.63,98.0
2.11,2.2,5.63,98.0
2.11,2.2,5.63,98.0
2.12,2.2,5.78,98.0
2.12,2.2,5.78,98.0
2.12,2.2,5.78,98.0
2.13,2.2,5.78,98.0
2.13,2.2,5.78,98.0
2.13,2.2,5.78,98.0
2.14,2.2,5.93,98.0
2.14,2.2,5.93,98.0
2.14,2.2,5.93,98.0
2.15,2.2,5.93,98.0
2.15,2.2,5.93,98.0
2.15,2.2,5.93,98.0
2.15,2.2,6.07,98.0
2.16,2.2,6.07,98.0
2.16,2.2,6.07,98.0
2.16,2.2,6.07,98.0
2.17,2.2,6.07,98.0
2.17,2.2,6.07,98.0
2.17,2.2,6.07,98.0
2.17,2.2,6.21,98.0
2.18,2.2,6.21,98.0
2.18,2.2,6.21,98.0
2.18,2.2,6.21,98.0
2.19,2.2,6.21,98.0
2.19,2.2,6.21,98.0
2.19,2.2,6.21,98.0
2.19,2.2,6.21,98.0
2.20,2.2,6.34,98.0
2.20,2.2,6.34,98.0
2.20,2.2,6.34,98.0
2.20,2.2,6.34,98.0
2.21,2.2,6.34,98.0
2.21,2.2,6.34,98.0
2.21,2.2,6.34,98.0
2.21,2.2,6.47,98.0
2.22,2.2,6.47,98.0
2.22,2.2,6.47,98.0
2.22,2.2,6.47,98.0
2.23,2.2,6.47,98.0
2.23,2.2,6.47,98.0
2.23,2.2,6.47,98.0
2.23,2.2,6.47,98.0
2.24,2.2,6.59,98.0
2.24,2.2,6.59,98.0
2.24,2.2,6.59,98.0
2.24,2.2,6.59,98.0
2.25,2.2,6.59,98.0
2.25,2.2,6.59,98.0
2.25,2.2,6.59,98.0
2.25,2.2,6.59,98.0
2.26,2.2,6.70,98.0
2.26,2.2,6.70,98.0
2.26,2.2,6.70,98.0
2.27,2.2,6.70,98.0
2.27,2.2,6.70,98.0
2.27,2.2,6.70,98.0
2.27,2.2,6.70,98.0
2.28,2.2,6.81,98.0
2.28,2.2,6.81,98.0
2.28,2.2,6.81,98.0
2.28,2.2,6.81,98.0
2.29,2.2,6.81,98.0
2.29,2.2,6.81,98.0
2.29,2.2,6.81,98.0
2.29,2.2,6.81,98.0
2.30,2.2,6.92,98.0
2.30,2.2,6.92,98.0
2.30,2.2,6.92,98.0
2.31,2.2,6.92,98.0
2.31,2.2,6.92,98.0
2.31,2.2,6.92,98.0
